"stateName","stateAbbreviation","countyFipsCode","countyName","percentReporting","extractedAt","majorParty","lastName","voteNum","votePercent"
"Alaska","AK","02901","Election District 1",95,"2024-11-27T19:44:44.095939","REP","Trump",4799,57
"Alaska","AK","02901","Election District 1",95,"2024-11-27T19:44:44.095939","DEM","Harris",3316,39
"Alaska","AK","02901","Election District 1",95,"2024-11-27T19:44:44.095939","IND","Kennedy",181,2
"Alaska","AK","02901","Election District 1",95,"2024-11-27T19:44:44.095939","LIB","Oliver",73,1
"Alaska","AK","02901","Election District 1",95,"2024-11-27T19:44:44.095939","GRN","Stein",48,1
"Alaska","AK","02901","Election District 1",95,"2024-11-27T19:44:44.095939","AUR","West",32,0
"Alaska","AK","02901","Election District 1",95,"2024-11-27T19:44:44.095939","CST","Terry",11,0
"Alaska","AK","02901","Election District 1",95,"2024-11-27T19:44:44.095939","ASP","Sonski",7,0
"Alaska","AK","02902","Election District 2",95,"2024-11-27T19:44:44.095939","DEM","Harris",4486,48
"Alaska","AK","02902","Election District 2",95,"2024-11-27T19:44:44.095939","REP","Trump",4462,47
"Alaska","AK","02902","Election District 2",95,"2024-11-27T19:44:44.095939","IND","Kennedy",218,2
"Alaska","AK","02902","Election District 2",95,"2024-11-27T19:44:44.095939","GRN","Stein",81,1
"Alaska","AK","02902","Election District 2",95,"2024-11-27T19:44:44.095939","LIB","Oliver",72,1
"Alaska","AK","02902","Election District 2",95,"2024-11-27T19:44:44.095939","AUR","West",38,0
"Alaska","AK","02902","Election District 2",95,"2024-11-27T19:44:44.095939","ASP","Sonski",23,0
"Alaska","AK","02902","Election District 2",95,"2024-11-27T19:44:44.095939","CST","Terry",18,0
"Alaska","AK","02903","Election District 3",95,"2024-11-27T19:44:44.095939","DEM","Harris",6044,55
"Alaska","AK","02903","Election District 3",95,"2024-11-27T19:44:44.095939","REP","Trump",4437,41
"Alaska","AK","02903","Election District 3",95,"2024-11-27T19:44:44.095939","IND","Kennedy",163,1
"Alaska","AK","02903","Election District 3",95,"2024-11-27T19:44:44.095939","LIB","Oliver",125,1
"Alaska","AK","02903","Election District 3",95,"2024-11-27T19:44:44.095939","GRN","Stein",93,1
"Alaska","AK","02903","Election District 3",95,"2024-11-27T19:44:44.095939","AUR","West",40,0
"Alaska","AK","02903","Election District 3",95,"2024-11-27T19:44:44.095939","ASP","Sonski",28,0
"Alaska","AK","02903","Election District 3",95,"2024-11-27T19:44:44.095939","CST","Terry",20,0
"Alaska","AK","02904","Election District 4",95,"2024-11-27T19:44:44.095939","DEM","Harris",6074,66
"Alaska","AK","02904","Election District 4",95,"2024-11-27T19:44:44.095939","REP","Trump",2665,29
"Alaska","AK","02904","Election District 4",95,"2024-11-27T19:44:44.095939","IND","Kennedy",140,2
"Alaska","AK","02904","Election District 4",95,"2024-11-27T19:44:44.095939","GRN","Stein",107,1
"Alaska","AK","02904","Election District 4",95,"2024-11-27T19:44:44.095939","LIB","Oliver",74,1
"Alaska","AK","02904","Election District 4",95,"2024-11-27T19:44:44.095939","AUR","West",49,1
"Alaska","AK","02904","Election District 4",95,"2024-11-27T19:44:44.095939","ASP","Sonski",28,0
"Alaska","AK","02904","Election District 4",95,"2024-11-27T19:44:44.095939","CST","Terry",14,0
"Alaska","AK","02905","Election District 5",95,"2024-11-27T19:44:44.095939","REP","Trump",4203,54
"Alaska","AK","02905","Election District 5",95,"2024-11-27T19:44:44.095939","DEM","Harris",3258,42
"Alaska","AK","02905","Election District 5",95,"2024-11-27T19:44:44.095939","IND","Kennedy",126,2
"Alaska","AK","02905","Election District 5",95,"2024-11-27T19:44:44.095939","GRN","Stein",80,1
"Alaska","AK","02905","Election District 5",95,"2024-11-27T19:44:44.095939","LIB","Oliver",77,1
"Alaska","AK","02905","Election District 5",95,"2024-11-27T19:44:44.095939","ASP","Sonski",17,0
"Alaska","AK","02905","Election District 5",95,"2024-11-27T19:44:44.095939","CST","Terry",16,0
"Alaska","AK","02905","Election District 5",95,"2024-11-27T19:44:44.095939","AUR","West",15,0
"Alaska","AK","02906","Election District 6",95,"2024-11-27T19:44:44.095939","REP","Trump",6406,55
