"stateName","stateAbbreviation","electoralVotes","percentReporting","extractedAt","winnerBopPartyId","majorParty","lastName","voteNum","votePercent"
"Alaska","AK",3,72,"2024-11-12T06:45:29.834316","REP","REP","Trump",141883,55.5
"Alaska","AK",3,72,"2024-11-12T06:45:29.834316","REP","DEM","Harris",103357,40.4
"Alaska","AK",3,72,"2024-11-12T06:45:29.834316","REP","IND","Kennedy",4348,1.7
"Alaska","AK",3,72,"2024-11-12T06:45:29.834316","REP","LIB","Oliver",2268,0.9
"Alaska","AK",3,72,"2024-11-12T06:45:29.834316","REP","GRN","Stein",1678,0.7
"Alaska","AK",3,72,"2024-11-12T06:45:29.834316","REP","AUR","West",913,0.4
"Alaska","AK",3,72,"2024-11-12T06:45:29.834316","REP","CST","Terry",580,0.2
"Alaska","AK",3,72,"2024-11-12T06:45:29.834316","REP","ASP","Sonski",506,0.2
"Alabama","AL",9,99,"2024-11-12T06:45:16.740583","REP","REP","Trump",1457704,64.8
"Alabama","AL",9,99,"2024-11-12T06:45:16.740583","REP","DEM","Harris",769391,34.2
"Alabama","AL",9,99,"2024-11-12T06:45:16.740583","REP","IND","Kennedy",12026,0.5
"Alabama","AL",9,99,"2024-11-12T06:45:16.740583","REP","IND","Oliver",4914,0.2
"Alabama","AL",9,99,"2024-11-12T06:45:16.740583","REP","GRN","Stein",4297,0.2
"Arkansas","AR",6,98,"2024-11-12T06:45:08.547974","REP","REP","Trump",758001,64.2
"Arkansas","AR",6,98,"2024-11-12T06:45:08.547974","REP","DEM","Harris",395752,33.5
"Arkansas","AR",6,98,"2024-11-12T06:45:08.547974","REP","IND","Kennedy",13220,1.1
"Arkansas","AR",6,98,"2024-11-12T06:45:08.547974","REP","LIB","Oliver",5708,0.5
"Arkansas","AR",6,98,"2024-11-12T06:45:08.547974","REP","GRN","Stein",4263,0.4
"Arizona","AZ",11,94,"2024-11-12T06:45:42.205476","REP","REP","Trump",1693427,52.3
"Arizona","AZ",11,94,"2024-11-12T06:45:42.205476","REP","DEM","Harris",1510940,46.7
"Arizona","AZ",11,94,"2024-11-12T06:45:42.205476","REP","GRN","Stein",17046,0.5
"Arizona","AZ",11,94,"2024-11-12T06:45:42.205476","REP","LIB","Oliver",16743,0.5
"California","CA",54,81,"2024-11-12T06:45:16.983956","DEM","DEM","Harris",7708637,58.9
"California","CA",54,81,"2024-11-12T06:45:16.983956","DEM","REP","Trump",4991117,38.1
"California","CA",54,81,"2024-11-12T06:45:16.983956","DEM","AIP","Kennedy",153443,1.2
"California","CA",54,81,"2024-11-12T06:45:16.983956","DEM","GRN","Stein",127525,1
"California","CA",54,81,"2024-11-12T06:45:16.983956","DEM","LIB","Oliver",52463,0.4
"Colorado","CO",10,95,"2024-11-12T06:45:16.983956","DEM","DEM","Harris",1691269,54.2
"Colorado","CO",10,95,"2024-11-12T06:45:16.983956","DEM","REP","Trump",1346346,43.1
"Colorado","CO",10,95,"2024-11-12T06:45:16.983956","DEM","UNA","Kennedy",34604,1.1
"Colorado","CO",10,95,"2024-11-12T06:45:16.983956","DEM","LIB","Oliver",20855,0.7
"Colorado","CO",10,95,"2024-11-12T06:45:16.983956","DEM","GRN","Stein",16488,0.5
"Colorado","CO",10,95,"2024-11-12T06:45:16.983956","DEM","UTY","West",4955,0.2
"Connecticut","CT",7,98,"2024-11-12T06:45:16.983956","DEM","DEM","Harris",986573,56.5
"Connecticut","CT",7,98,"2024-11-12T06:45:16.983956","DEM","REP","Trump",731164,41.8
"Connecticut","CT",7,98,"2024-11-12T06:45:16.983956","DEM","GRN","Stein",14216,0.8
"Connecticut","CT",7,98,"2024-11-12T06:45:16.983956","DEM","IND","Kennedy",8368,0.5
"Connecticut","CT",7,98,"2024-11-12T06:45:16.983956","DEM","LIB","Oliver",6691,0.4
"District of Columbia","DC",3,99,"2024-11-12T06:45:04.325756","DEM","DEM","Harris",286787,90.2
"District of Columbia","DC",3,99,"2024-11-12T06:45:04.325756","DEM","REP","Trump",20659,6.5
"District of Columbia","DC",3,99,"2024-11-12T06:45:04.325756","DEM","IND","Kennedy",2726,0.9
"Delaware","DE",3,99,"2024-11-12T06:45:04.325756","DEM","DEM","Harris",289585,56.6
"Delaware","DE",3,99,"2024-11-12T06:45:04.325756","DEM","REP","Trump",214184,41.9
"Delaware","DE",3,99,"2024-11-12T06:45:04.325756","DEM","IP","Kennedy",4633,0.9
"Delaware","DE",3,99,"2024-11-12T06:45:04.325756","DEM","LIB","Oliver",2037,0.4
"Florida","FL",30,99,"2024-11-12T06:45:45.647317","REP","REP","Trump",6109564,56.1
"Florida","FL",30,99,"2024-11-12T06:45:45.647317","REP","DEM","Harris",4680896,42.9
"Florida","FL",30,99,"2024-11-12T06:45:45.647317","REP","GRN","Stein",43117,0.4
"Florida","FL",30,99,"2024-11-12T06:45:45.647317","REP","LIB","Oliver",31957,0.3
"Georgia","GA",16,99,"2024-11-12T06:45:45.647317","REP","REP","Trump",2661143,50.7
"Georgia","GA",16,99,"2024-11-12T06:45:45.647317","REP","DEM","Harris",2544405,48.5
"Georgia","GA",16,99,"2024-11-12T06:45:45.647317","REP","LIB","Oliver",20672,0.4
"Georgia","GA",16,99,"2024-11-12T06:45:45.647317","REP","GRN","Stein",18195,0.3
"Hawaii","HI",4,90,"2024-11-12T06:45:45.647317","DEM","DEM","Harris",312384,60.6
"Hawaii","HI",4,90,"2024-11-12T06:45:45.647317","DEM","REP","Trump",193169,37.5
"Hawaii","HI",4,90,"2024-11-12T06:45:45.647317","DEM","GRN","Stein",4372,0.8
"Hawaii","HI",4,90,"2024-11-12T06:45:45.647317","DEM","LIB","Oliver",2719,0.5
"Iowa","IA",6,99,"2024-11-12T06:45:33.811044","REP","REP","Trump",926103,55.8
"Iowa","IA",6,99,"2024-11-12T06:45:33.811044","REP","DEM","Harris",706525,42.6
"Iowa","IA",6,99,"2024-11-12T06:45:33.811044","REP","WTP","Kennedy",13105,0.8
"Iowa","IA",6,99,"2024-11-12T06:45:33.811044","REP","LIB","Oliver",7212,0.4
"Idaho","ID",4,99,"2024-11-12T06:45:45.647317","REP","REP","Trump",605144,66.9
"Idaho","ID",4,99,"2024-11-12T06:45:45.647317","REP","DEM","Harris",274973,30.4
"Idaho","ID",4,99,"2024-11-12T06:45:45.647317","REP","IND","Kennedy",12812,1.4
"Idaho","ID",4,99,"2024-11-12T06:45:45.647317","REP","LIB","Oliver",4462,0.5
"Idaho","ID",4,99,"2024-11-12T06:45:45.647317","REP","GRN","Stein",2973,0.3
"Illinois","IL",19,94,"2024-11-12T06:45:33.811044","DEM","DEM","Harris",2930964,54
"Illinois","IL",19,94,"2024-11-12T06:45:33.811044","DEM","REP","Trump",2411970,44.4
"Illinois","IL",19,94,"2024-11-12T06:45:33.811044","DEM","IND","Kennedy",77760,1.4
"Indiana","IN",11,98,"2024-11-12T06:45:33.811044","REP","REP","Trump",1727624,58.7
"Indiana","IN",11,98,"2024-11-12T06:45:33.811044","REP","DEM","Harris",1163657,39.5
"Indiana","IN",11,98,"2024-11-12T06:45:33.811044","REP","WTP","Kennedy",29402,1
"Indiana","IN",11,98,"2024-11-12T06:45:33.811044","REP","LIB","Oliver",20469,0.7
"Kansas","KS",6,98,"2024-11-12T06:45:33.811044","REP","REP","Trump",741464,57.2
"Kansas","KS",6,98,"2024-11-12T06:45:33.811044","REP","DEM","Harris",531989,41
"Kansas","KS",6,98,"2024-11-12T06:45:33.811044","REP","IND","Kennedy",15806,1.2
"Kansas","KS",6,98,"2024-11-12T06:45:33.811044","REP","LIB","Oliver",7406,0.6
"Kentucky","KY",8,99,"2024-11-12T06:45:33.811044","REP","REP","Trump",1336227,64.6
"Kentucky","KY",8,99,"2024-11-12T06:45:33.811044","REP","DEM","Harris",700920,33.9
"Kentucky","KY",8,99,"2024-11-12T06:45:33.811044","REP","IND","Kennedy",16753,0.8
"Kentucky","KY",8,99,"2024-11-12T06:45:33.811044","REP","GRN","Stein",7538,0.4
"Kentucky","KY",8,99,"2024-11-12T06:45:33.811044","REP","LIB","Oliver",6409,0.3
"Louisiana","LA",8,99,"2024-11-12T06:45:16.740583","REP","REP","Trump",1208269,60.2
"Louisiana","LA",8,99,"2024-11-12T06:45:16.740583","REP","DEM","Harris",766424,38.2
"Louisiana","LA",8,99,"2024-11-12T06:45:16.740583","REP","GRN","Stein",7137,0.4
"Louisiana","LA",8,99,"2024-11-12T06:45:16.740583","REP","LIB","Oliver",6831,0.3
"Louisiana","LA",8,99,"2024-11-12T06:45:16.740583","REP","WTP","Kennedy",6639,0.3
"Louisiana","LA",8,99,"2024-11-12T06:45:16.740583","REP","JFA","West",2620,0.1
"Massachusetts","MA",11,96,"2024-11-12T06:45:16.740583","DEM","DEM","Harris",2074200,60.9
"Massachusetts","MA",11,96,"2024-11-12T06:45:16.740583","DEM","REP","Trump",1238649,36.4
"Massachusetts","MA",11,96,"2024-11-12T06:45:16.740583","DEM","GRN","Stein",25453,0.7
"Massachusetts","MA",11,96,"2024-11-12T06:45:16.740583","DEM","LIB","Oliver",17395,0.5
"Maryland","MD",10,90,"2024-11-12T06:45:16.740583","DEM","DEM","Harris",1685178,61.7
"Maryland","MD",10,90,"2024-11-12T06:45:16.740583","DEM","REP","Trump",975093,35.7
"Maryland","MD",10,90,"2024-11-12T06:45:16.740583","DEM","GRN","Stein",28783,1.1
"Maryland","MD",10,90,"2024-11-12T06:45:16.740583","DEM","UNA","Kennedy",26336,1
"Maryland","MD",10,90,"2024-11-12T06:45:16.740583","DEM","LIB","Oliver",14312,0.5
"Maine","ME",4,98,"2024-11-12T06:45:16.740583","DEM","DEM","Harris",423404,52.5
"Maine","ME",4,98,"2024-11-12T06:45:16.740583","DEM","REP","Trump",364135,45.1
"Maine","ME",4,98,"2024-11-12T06:45:16.740583","DEM","GRN","Stein",9246,1.1
"Maine","ME",4,98,"2024-11-12T06:45:16.740583","DEM","LIB","Oliver",5654,0.7
"Maine","ME",4,98,"2024-11-12T06:45:16.740583","DEM","IND","West",3335,0.4
"Michigan","MI",15,99,"2024-11-12T06:45:12.265952","REP","REP","Trump",2810970,49.7
"Michigan","MI",15,99,"2024-11-12T06:45:12.265952","REP","DEM","Harris",2732305,48.3
"Michigan","MI",15,99,"2024-11-12T06:45:12.265952","REP","GRN","Stein",44529,0.8
"Michigan","MI",15,99,"2024-11-12T06:45:12.265952","REP","NTL","Kennedy",26690,0.5
"Michigan","MI",15,99,"2024-11-12T06:45:12.265952","REP","LIB","Oliver",22396,0.4
"Michigan","MI",15,99,"2024-11-12T06:45:12.265952","REP","IND","West",6653,0.1
"Minnesota","MN",10,99,"2024-11-12T06:45:12.265952","DEM","DEM","Harris",1656970,51.1
"Minnesota","MN",10,99,"2024-11-12T06:45:12.265952","DEM","REP","Trump",1519026,46.9
"Minnesota","MN",10,99,"2024-11-12T06:45:12.265952","DEM","WTP","Kennedy",24000,0.7
"Minnesota","MN",10,99,"2024-11-12T06:45:12.265952","DEM","GRN","Stein",16274,0.5
"Minnesota","MN",10,99,"2024-11-12T06:45:12.265952","DEM","LIB","Oliver",15155,0.5
"Minnesota","MN",10,99,"2024-11-12T06:45:12.265952","DEM","JFA","West",3136,0.1
"Missouri","MO",10,99,"2024-11-12T06:45:12.265952","REP","REP","Trump",1739020,58.4
"Missouri","MO",10,99,"2024-11-12T06:45:12.265952","REP","DEM","Harris",1190806,40
"Missouri","MO",10,99,"2024-11-12T06:45:12.265952","REP","LIB","Oliver",23754,0.8
"Missouri","MO",10,99,"2024-11-12T06:45:12.265952","REP","GRN","Stein",16956,0.6
"Mississippi","MS",6,92,"2024-11-12T06:45:12.265952","REP","REP","Trump",704554,61.5
"Mississippi","MS",6,92,"2024-11-12T06:45:12.265952","REP","DEM","Harris",426485,37.2
"Mississippi","MS",6,92,"2024-11-12T06:45:12.265952","REP","IND","Kennedy",5063,0.4
"Mississippi","MS",6,92,"2024-11-12T06:45:12.265952","REP","LIB","Oliver",2383,0.2
"Mississippi","MS",6,92,"2024-11-12T06:45:12.265952","REP","GRN","Stein",1759,0.1
"Montana","MT",4,96,"2024-11-12T06:45:12.265952","REP","REP","Trump",343064,58.5
"Montana","MT",4,96,"2024-11-12T06:45:12.265952","REP","DEM","Harris",225272,38.4
"Montana","MT",4,96,"2024-11-12T06:45:12.265952","REP","WTP","Kennedy",11426,1.9
"Montana","MT",4,96,"2024-11-12T06:45:12.265952","REP","LIB","Oliver",4141,0.7
"Montana","MT",4,96,"2024-11-12T06:45:12.265952","REP","GRN","Stein",2764,0.5
"North Carolina","NC",16,99,"2024-11-12T06:45:21.203250","REP","REP","Trump",2878071,51
"North Carolina","NC",16,99,"2024-11-12T06:45:21.203250","REP","DEM","Harris",2688665,47.7
"North Carolina","NC",16,99,"2024-11-12T06:45:21.203250","REP","GRN","Stein",24353,0.4
"North Carolina","NC",16,99,"2024-11-12T06:45:21.203250","REP","LIB","Oliver",21820,0.4
"North Carolina","NC",16,99,"2024-11-12T06:45:21.203250","REP","JFA","West",11891,0.2
"North Dakota","ND",3,99,"2024-11-12T06:45:21.203250","REP","REP","Trump",245943,67.2
"North Dakota","ND",3,99,"2024-11-12T06:45:21.203250","REP","DEM","Harris",111966,30.6
"North Dakota","ND",3,99,"2024-11-12T06:45:21.203250","REP","LIB","Oliver",6206,1.7
"Nebraska","NE",5,97,"2024-11-12T06:45:29.834316","REP","REP","Trump",557156,59.8
"Nebraska","NE",5,97,"2024-11-12T06:45:29.834316","REP","DEM","Harris",361949,38.9
"Nebraska","NE",5,97,"2024-11-12T06:45:29.834316","REP","LIB","Oliver",6266,0.7
"Nebraska","NE",5,97,"2024-11-12T06:45:29.834316","REP","LMN","West",2979,0.3
"Nebraska","NE",5,97,"2024-11-12T06:45:29.834316","REP","GRN","Stein",2813,0.3
"New Hampshire","NH",4,99,"2024-11-12T06:45:29.834316","DEM","DEM","Harris",418351,50.7
"New Hampshire","NH",4,99,"2024-11-12T06:45:29.834316","DEM","REP","Trump",395397,47.9
"New Hampshire","NH",4,99,"2024-11-12T06:45:29.834316","DEM","LIB","Oliver",4424,0.5
"New Hampshire","NH",4,99,"2024-11-12T06:45:29.834316","DEM","GRN","Stein",3676,0.4
"New Jersey","NJ",14,92,"2024-11-12T06:45:29.834316","DEM","DEM","Harris",2139556,51.6
"New Jersey","NJ",14,92,"2024-11-12T06:45:29.834316","DEM","REP","Trump",1912257,46.2
"New Jersey","NJ",14,92,"2024-11-12T06:45:29.834316","DEM","GRN","Stein",36775,0.9
"New Jersey","NJ",14,92,"2024-11-12T06:45:29.834316","DEM","IND","Kennedy",22632,0.5
"New Jersey","NJ",14,92,"2024-11-12T06:45:29.834316","DEM","LIB","Oliver",10192,0.2
"New Mexico","NM",5,99,"2024-11-12T06:45:21.203250","DEM","DEM","Harris",476088,51.8
"New Mexico","NM",5,99,"2024-11-12T06:45:21.203250","DEM","REP","Trump",422184,45.9
"New Mexico","NM",5,99,"2024-11-12T06:45:21.203250","DEM","IND","Kennedy",9509,1
"New Mexico","NM",5,99,"2024-11-12T06:45:21.203250","DEM","GRN","Stein",4563,0.5
"New Mexico","NM",5,99,"2024-11-12T06:45:21.203250","DEM","LIB","Oliver",3733,0.4
"Nevada","NV",6,99,"2024-11-12T06:45:29.834316","REP","REP","Trump",730788,50.6
"Nevada","NV",6,99,"2024-11-12T06:45:29.834316","REP","DEM","Harris",685650,47.5
"Nevada","NV",6,99,"2024-11-12T06:45:29.834316","REP","NON","None of these candidates",19136,1.3
"Nevada","NV",6,99,"2024-11-12T06:45:29.834316","REP","LIB","Oliver",5894,0.4
"New York","NY",28,94,"2024-11-12T06:45:21.203250","DEM","DEM","Harris",4348179,55.5
"New York","NY",28,94,"2024-11-12T06:45:21.203250","DEM","REP","Trump",3439362,43.9
"Ohio","OH",17,96,"2024-11-12T06:45:21.203250","REP","REP","Trump",3116579,55.2
"Ohio","OH",17,96,"2024-11-12T06:45:21.203250","REP","DEM","Harris",2476003,43.8
"Ohio","OH",17,96,"2024-11-12T06:45:21.203250","REP","LIB","Oliver",27502,0.5
"Oklahoma","OK",7,99,"2024-11-12T06:45:42.205476","REP","REP","Trump",1036213,66.2
"Oklahoma","OK",7,99,"2024-11-12T06:45:42.205476","REP","DEM","Harris",499599,31.9
"Oklahoma","OK",7,99,"2024-11-12T06:45:42.205476","REP","IND","Kennedy",16020,1
"Oklahoma","OK",7,99,"2024-11-12T06:45:42.205476","REP","LIB","Oliver",9198,0.6
"Oregon","OR",8,88,"2024-11-12T06:45:42.205476","DEM","DEM","Harris",1155481,55.6
"Oregon","OR",8,88,"2024-11-12T06:45:42.205476","DEM","REP","Trump",861020,41.4
"Oregon","OR",8,88,"2024-11-12T06:45:42.205476","DEM","WTP","Kennedy",30623,1.5
"Oregon","OR",8,88,"2024-11-12T06:45:42.205476","DEM","GRN","Stein",17037,0.8
"Oregon","OR",8,88,"2024-11-12T06:45:42.205476","DEM","LIB","Oliver",8134,0.4
"Oregon","OR",8,88,"2024-11-12T06:45:42.205476","DEM","PRG","West",5078,0.2
"Pennsylvania","PA",19,99,"2024-11-12T06:45:42.205476","REP","REP","Trump",3512894,50.5
"Pennsylvania","PA",19,99,"2024-11-12T06:45:42.205476","REP","DEM","Harris",3372751,48.4
"Pennsylvania","PA",19,99,"2024-11-12T06:45:42.205476","REP","GRN","Stein",33902,0.5
"Pennsylvania","PA",19,99,"2024-11-12T06:45:42.205476","REP","LIB","Oliver",32970,0.5
"Rhode Island","RI",4,97,"2024-11-12T06:45:42.205476","DEM","DEM","Harris",281375,55.6
"Rhode Island","RI",4,97,"2024-11-12T06:45:42.205476","DEM","REP","Trump",212990,42.1
"Rhode Island","RI",4,97,"2024-11-12T06:45:42.205476","DEM","IND","Kennedy",5006,1
"Rhode Island","RI",4,97,"2024-11-12T06:45:42.205476","DEM","GRN","Stein",2829,0.6
"Rhode Island","RI",4,97,"2024-11-12T06:45:42.205476","DEM","LIB","Oliver",1602,0.3
"South Carolina","SC",9,98,"2024-11-12T06:45:42.240751","REP","REP","Trump",1483589,58.2
"South Carolina","SC",9,98,"2024-11-12T06:45:42.240751","REP","DEM","Harris",1028366,40.4
"South Carolina","SC",9,98,"2024-11-12T06:45:42.240751","REP","LIB","Oliver",12670,0.5
"South Carolina","SC",9,98,"2024-11-12T06:45:42.240751","REP","GRN","Stein",8117,0.3
"South Carolina","SC",9,98,"2024-11-12T06:45:42.240751","REP","UNC","West",6745,0.3
"South Dakota","SD",3,99,"2024-11-12T06:45:42.240751","REP","REP","Trump",272081,63.4
"South Dakota","SD",3,99,"2024-11-12T06:45:42.240751","REP","DEM","Harris",146859,34.2
"South Dakota","SD",3,99,"2024-11-12T06:45:42.240751","REP","IND","Kennedy",7204,1.7
"South Dakota","SD",3,99,"2024-11-12T06:45:42.240751","REP","LIB","Oliver",2778,0.6
"Tennessee","TN",11,96,"2024-11-12T06:45:42.240751","REP","REP","Trump",1964499,64.1
"Tennessee","TN",11,96,"2024-11-12T06:45:42.240751","REP","DEM","Harris",1055039,34.4
"Tennessee","TN",11,96,"2024-11-12T06:45:42.240751","REP","IND","Kennedy",21511,0.7
"Tennessee","TN",11,96,"2024-11-12T06:45:42.240751","REP","GRN","Stein",8953,0.3
"Texas","TX",40,99,"2024-11-12T06:45:42.240751","REP","REP","Trump",6375318,56.2
"Texas","TX",40,99,"2024-11-12T06:45:42.240751","REP","DEM","Harris",4806441,42.4
"Texas","TX",40,99,"2024-11-12T06:45:42.240751","REP","GRN","Stein",82299,0.7
"Texas","TX",40,99,"2024-11-12T06:45:42.240751","REP","LIB","Oliver",68266,0.6
"Utah","UT",6,69,"2024-11-12T06:45:42.240751","REP","REP","Trump",634801,59.1
"Utah","UT",6,69,"2024-11-12T06:45:42.240751","REP","DEM","Harris",411334,38.3
"Utah","UT",6,69,"2024-11-12T06:45:42.240751","REP","LIB","Oliver",10057,0.9
"Utah","UT",6,69,"2024-11-12T06:45:42.240751","REP","GRN","Stein",4804,0.4
"Utah","UT",6,69,"2024-11-12T06:45:42.240751","REP","UNA","West",1364,0.1
"Virginia","VA",13,99,"2024-11-12T06:45:08.547974","DEM","DEM","Harris",2265246,51.7
"Virginia","VA",13,99,"2024-11-12T06:45:08.547974","DEM","REP","Trump",2021832,46.2
"Virginia","VA",13,99,"2024-11-12T06:45:08.547974","DEM","GRN","Stein",33009,0.8
